	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
71	4.2	111.3	55.7	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7100000000000005
72	4.3	111.1	55.8	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7200000000000005
73	4.3	111.1	55.8	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7300000000000004
74	4.0	111.1	55.9	11.5	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7400000000000003
75	3.7	111.2	55.8	11.6	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7500000000000003
76	3.7	111.2	55.8	11.6	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7600000000000006
77	3.7	111.2	55.8	11.6	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7700000000000005
78	3.4	111.0	55.9	11.7	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7800000000000004
79	3.1	110.8	56.0	11.8	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.7900000000000006
80	3.0	110.7	56.1	11.8	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.8000000000000005
81	2.8	110.8	56.1	11.8	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.8100000000000005
82	2.8	110.8	56.1	11.8	0.0	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.8200000000000005
